Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky,1
Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College",1
Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's,1
Dalano Banton,2022,2025,G-F,6-9,204,"November 7, 1999",Nebraska,0
Cat Barber,2022,2022,G,6-2,190,"July 25, 1994",NC State,0
John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",1
Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",,1
Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",Illinois,1
J.J. Barea,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University,1
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,1
Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",Kentucky,1
Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955","Minnesota, College of Southern Idaho, Hawaii",1
Charles Barkley,1985,2000,F,6-6,252,"February 20, 1963",Auburn,1
Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's,1
Don Barksdale,1952,1955,F-C,6-6,200,"March 31, 1923",UCLA,1
Dominick Barlow,2023,2025,F,6-9,221,"May 26, 2003",,0
Harrison Barnes,2013,2025,F,6-8,225,"May 30, 1992",UNC,0
Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,1
Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso,1
Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence,1
Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980",UCLA,1
Scottie Barnes,2022,2025,G-F,6-7,227,"August 1, 2001",Florida State,0
Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State,1
Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",Oregon,1
Nate Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,1
John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State,1
Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State,1
Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame,1
John Barr,1947,1947,F,6-3,205,"August 18, 1918",Penn State,1
Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne,1
Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne,1
Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall,1
Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State,1
Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia Tech,1
RJ Barrett,2020,2025,G-F,6-6,214,"June 14, 2000",Duke,0
Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",Memphis,1
Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,1
Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State,1
Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech,1
Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech",1
Rick Barry,1966,1980,F,6-7,205,"March 28, 1944",Miami (FL),1
Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",NC State,1
Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State,1
Will Barton,2013,2023,G,6-5,181,"January 6, 1991",Memphis,1
Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte,1
Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple,1
Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",LSU,1
Paris Bass,2022,2022,F,6-8,200,"August 29, 1995",Detroit Mercy,0
Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951","College of Southern Idaho, Georgia",1
Charles Bassey,2022,2025,C,6-10,235,"October 28, 2000",Western Kentucky,0
Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",Michigan,1
Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,1
Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,1
Emoni Bates,2024,2024,G,6-10,170,"January 28, 2004","Memphis, Eastern Michigan",0
Keita Bates-Diop,2019,2024,F,6-8,229,"January 23, 1996",Ohio State,0
Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,1
Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State,1
Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech,1
Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke,1
Jamison Battle,2025,2025,F,6-7,220,"May 10, 2001","George Washington, Minnesota, Ohio State",0
John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,1
Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois",1
Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",Notre Dame,1
Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",Cincinnati,1
Nicolas Batum,2009,2025,F-G,6-8,230,"December 14, 1988",,0
Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946","Peirce College, Temple",1
Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,1
Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",Maryland,1
Jerryd Bayless,2009,2019,G,6-3,200,"August 20, 1988",Arizona,1
Elgin Baylor,1959,1972,F,6-5,225,"September 16, 1934","College of Idaho, Seattle University",1
Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",Tennessee,1
Aron Baynes,2013,2021,C,6-10,260,"December 9, 1986",Washington State,1
Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",,1
Kent Bazemore,2013,2022,G-F,6-4,195,"July 1, 1989",Old Dominion,0
Darius Bazley,2020,2024,F,6-8,208,"June 12, 2000",,0
Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia,1
Bradley Beal,2013,2025,G,6-4,207,"June 28, 1993",Florida,0
Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State,1
Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",Louisville,1
Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",Kentucky,1
Charlie Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",SMU,1
Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota",1
John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M,1
Malik Beasley,2017,2025,G,6-4,187,"November 26, 1996",Florida State,0
Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State,1
Zelmo Beaty,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,1
Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",,1
MarJon Beauchamp,2023,2025,G,6-6,199,"October 12, 2000",Yakima Valley Community College,0
Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945","Columbia Basin College, Denver",1
Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas",1
Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",Penn,1
Art Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State,1
Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne,1
Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford,1
William Bedford,1987,1993,C,7-0,225,"December 14, 1963",Memphis,1
Reece Beekman,2025,2025,G,6-1,190,"October 8, 2001",Virginia,0
Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,1
Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",Minnesota,1
Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley,1
Marco Belinelli,2008,2020,G-F,6-5,220,"March 25, 1986",,1
Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State,1
Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University,1
Jordan Bell,2018,2022,F,6-8,216,"January 7, 1995",Oregon,0
Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University",1
Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College,1
Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",NC State,1
Walt Bellamy,1962,1975,C,6-11,225,"July 24, 1939",Indiana,1
DeAndre' Bembry,2017,2022,F,6-5,210,"July 4, 1994",Saint Joseph's,0
Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",Illinois,1
Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University,1
Dragan Bender,2017,2020,F,7-0,225,"November 17, 1997",,1
Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",,1
Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University",1
Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton,1
Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State,1
Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993",UNLV,1
Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",Notre Dame,1
Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State,1
Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",Pitt,1
Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State,1
Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",Green Bay,1
Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",Kentucky,1
David Benoit,1992,2001,F,6-8,220,"May 9, 1968",Alabama,1
Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland,1
Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana,1
Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence,1
Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette,1
Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",Utah,1
Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State,1
Jules Bernard,2024,2024,F,6-7,210,"January 21, 2000",UCLA,0
Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State",1
Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's,1
Dairis Bertāns,2019,2019,G,6-4,200,"September 9, 1989",,1
