Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Jaylen Brown,#7,G-F,6-6,223 lbs,"OCT 24, 1996",25,5,California,#3 Pick in 2016 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1627759/,2021-22
Malik Fitts,#8,F,6-5,230 lbs,"JUL 04, 1997",24,1,St. Mary's College,,BOSTON CELTICS,https://www.nba.com/stats/player/1630238/,2021-22
Derrick White,#9,G,6-4,190 lbs,"JUL 02, 1994",27,4,Colorado,Traded from SAS on 02/10/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628401/,2021-22
Payton Pritchard,#11,G,6-1,195 lbs,"JAN 28, 1998",24,1,Oregon,#26 Pick in 2020 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1630202/,2021-22
Grant Williams,#12,F,6-6,236 lbs,"NOV 30, 1998",23,2,Tennessee,,BOSTON CELTICS,https://www.nba.com/stats/player/1629684/,2021-22
Nik Stauskas,#13,G,6-6,207 lbs,"OCT 07, 1993",28,5,Michigan,,BOSTON CELTICS,https://www.nba.com/stats/player/203917/,2021-22
Juwan Morgan,#16,F,6-7,232 lbs,"APR 17, 1997",25,2,Indiana,,BOSTON CELTICS,https://www.nba.com/stats/player/1629752/,2021-22
Aaron Nesmith,#26,G-F,6-5,215 lbs,"OCT 16, 1999",22,1,Vanderbilt,,BOSTON CELTICS,https://www.nba.com/stats/player/1630174/,2021-22
Daniel Theis,#27,F-C,6-9,245 lbs,"APR 04, 1992",30,4,Brose Bamberg,,BOSTON CELTICS,https://www.nba.com/stats/player/1628464/,2021-22
Sam Hauser,#30,F,6-7,217 lbs,"DEC 08, 1997",24,R,Virginia,Signed on 08/13/21,BOSTON CELTICS,https://www.nba.com/stats/player/1630573/,2021-22
Marcus Smart,#36,G,6-4,220 lbs,"MAR 06, 1994",28,7,Oklahoma State,,BOSTON CELTICS,https://www.nba.com/stats/player/203935/,2021-22
Luke Kornet,#40,C-F,7-2,250 lbs,"JUL 15, 1995",26,4,Vanderbilt,Signed on 02/11/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628436/,2021-22
Al Horford,#42,C-F,6-9,240 lbs,"JUN 03, 1986",36,14,Florida,Traded from OKC on 06/18/21,BOSTON CELTICS,https://www.nba.com/stats/player/201143/,2021-22
Robert Williams III,#44,C-F,6-9,237 lbs,"OCT 17, 1997",24,3,Texas A&M,,BOSTON CELTICS,https://www.nba.com/stats/player/1629057/,2021-22
Brodric Thomas,#97,G,6-5,185 lbs,"JAN 28, 1997",25,1,Truman State,,BOSTON CELTICS,https://www.nba.com/stats/player/1630271/,2021-22
Jayson Tatum,#0,F-G,6-8,210 lbs,"MAR 03, 1998",23,3,Duke,#3 Pick in 2017 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1628369/,2020-21
Carsen Edwards,#4,G,5-11,200 lbs,"MAR 12, 1998",23,1,Purdue,,BOSTON CELTICS,https://www.nba.com/stats/player/1629035/,2020-21
Jaylen Brown,#7,G-F,6-6,223 lbs,"OCT 24, 1996",24,4,California,#3 Pick in 2016 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1627759/,2020-21
Moses Brown,#9,C,7-2,245 lbs,"OCT 13, 1999",21,1,UCLA,,BOSTON CELTICS,https://www.nba.com/stats/player/1629650/,2020-21
Payton Pritchard,#11,G,6-1,195 lbs,"JAN 28, 1998",23,R,Oregon,#26 Pick in 2020 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1630202/,2020-21
Grant Williams,#12,F,6-6,236 lbs,"NOV 30, 1998",22,1,Tennessee,,BOSTON CELTICS,https://www.nba.com/stats/player/1629684/,2020-21
Tristan Thompson,#13,C-F,6-9,254 lbs,"MAR 13, 1991",30,9,Texas-Austin,,BOSTON CELTICS,https://www.nba.com/stats/player/202684/,2020-21
Jabari Parker,#20,F,6-8,245 lbs,"MAR 15, 1995",26,6,Duke,,BOSTON CELTICS,https://www.nba.com/stats/player/203953/,2020-21
Aaron Nesmith,#26,G-F,6-5,215 lbs,"OCT 16, 1999",21,R,Vanderbilt,,BOSTON CELTICS,https://www.nba.com/stats/player/1630174/,2020-21
Marcus Smart,#36,G,6-3,220 lbs,"MAR 06, 1994",27,6,Oklahoma State,,BOSTON CELTICS,https://www.nba.com/stats/player/203935/,2020-21
Semi Ojeleye,#37,F,6-6,240 lbs,"DEC 05, 1994",26,3,Southern Methodist,,BOSTON CELTICS,https://www.nba.com/stats/player/1628400/,2020-21
Luke Kornet,#40,F-C,7-2,250 lbs,"JUL 15, 1995",25,3,Vanderbilt,Signed on 02/11/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628436/,2020-21
Al Horford,#42,C-F,6-9,240 lbs,"JUN 03, 1986",35,13,Florida,Traded from OKC on 06/18/21,BOSTON CELTICS,https://www.nba.com/stats/player/201143/,2020-21
Robert Williams III,#44,C-F,6-8,237 lbs,"OCT 17, 1997",23,2,Texas A&M,,BOSTON CELTICS,https://www.nba.com/stats/player/1629057/,2020-21
Romeo Langford,#45,G-F,6-4,216 lbs,"OCT 25, 1999",21,1,Indiana,,BOSTON CELTICS,https://www.nba.com/stats/player/1629641/,2020-21
Tremont Waters,#51,G,5-10,175 lbs,"JAN 10, 1998",23,1,Louisiana State,,BOSTON CELTICS,https://www.nba.com/stats/player/1629682/,2020-21
Evan Fournier,#94,G-F,6-7,205 lbs,"OCT 29, 1992",28,8,Poitiers Basket 86,,BOSTON CELTICS,https://www.nba.com/stats/player/203095/,2020-21
Tacko Fall,#99,C,7-5,311 lbs,"DEC 10, 1995",25,1,UCF,,BOSTON CELTICS,https://www.nba.com/stats/player/1629605/,2020-21
Dariq Whitehead,#0,G-F,6-6,220 lbs,"AUG 01, 2004",20,1,Duke,#22 Pick in 2023 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1641727/,2024-25
Ziaire Williams,#1,F,6-9,185 lbs,"SEP 12, 2001",23,3,Stanford,Traded from MEM on 07/19/24,BROOKLYN NETS,https://www.nba.com/stats/player/1630533/,2024-25
Cameron Johnson,#2,F,6-8,210 lbs,"MAR 03, 1996",28,5,North Carolina,Traded from PHX on 02/09/23,BROOKLYN NETS,https://www.nba.com/stats/player/1629661/,2024-25
Reece Beekman,#4,G,6-3,190 lbs,"OCT 08, 2001",23,R,Virginia,,BROOKLYN NETS,https://www.nba.com/stats/player/1641736/,2024-25
Shake Milton,#7,G,6-5,205 lbs,"SEP 26, 1996",28,6,Southern Methodist,Traded from NYK on 07/06/24,BROOKLYN NETS,https://www.nba.com/stats/player/1629003/,2024-25
De'Anthony Melton,#8,G,6-3,200 lbs,"MAY 28, 1998",26,6,Southern California,Traded from GSW on 12/15/24,BROOKLYN NETS,https://www.nba.com/stats/player/1629001/,2024-25
Trendon Watford,#9,G-F,6-8,237 lbs,"NOV 09, 2000",24,3,Louisiana State,Signed on 08/03/23,BROOKLYN NETS,https://www.nba.com/stats/player/1630570/,2024-25
Ben Simmons,#10,G-F,6-10,240 lbs,"JUL 20, 1996",28,6,Louisiana State,Traded from PHI on 02/10/22,BROOKLYN NETS,https://www.nba.com/stats/player/1627732/,2024-25
Tyrese Martin,#13,F,6-6,215 lbs,"MAR 07, 1999",25,1,Connecticut,Signed on 09/20/24,BROOKLYN NETS,https://www.nba.com/stats/player/1631213/,2024-25
Jaylen Martin,#16,G,6-6,216 lbs,"JAN 28, 2004",20,R,Overtime Elite,Signed on 02/21/24,BROOKLYN NETS,https://www.nba.com/stats/player/1641798/,2024-25
Day'Ron Sharpe,#20,C,6-9,265 lbs,"NOV 06, 2001",23,3,North Carolina,Draft Rights Traded from PHX on 08/06/21,BROOKLYN NETS,https://www.nba.com/stats/player/1630549/,2024-25
Noah Clowney,#21,F-C,6-9,210 lbs,"JUL 14, 2004",20,1,Alabama,#21 Pick in 2023 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1641730/,2024-25
Jalen Wilson,#22,F,6-6,220 lbs,"NOV 04, 2000",24,1,Kansas,#51 Pick in 2023 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1630592/,2024-25
Cam Thomas,#24,G,6-3,210 lbs,"OCT 13, 2001",23,3,Louisiana State,#27 Pick in 2021 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1630560/,2024-25
Dorian Finney-Smith,#28,F,6-7,220 lbs,"MAY 04, 1993",31,8,Florida,Traded from DAL on 02/06/23,BROOKLYN NETS,https://www.nba.com/stats/player/1627827/,2024-25
Nic Claxton,#33,C,6-11,215 lbs,"APR 17, 1999",25,5,Georgia,#31 Pick in 2019 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1629651/,2024-25
Bojan Bogdanović,#44,F,6-7,226 lbs,"APR 18, 1989",35,10,Fenerbahce,Traded from NYK on 07/06/24,BROOKLYN NETS,https://www.nba.com/stats/player/202711/,2024-25
Keon Johnson,#45,G,6-5,185 lbs,"MAR 10, 2002",22,3,Tennessee,Signed on 11/01/23,BROOKLYN NETS,https://www.nba.com/stats/player/1630553/,2024-25
Dariq Whitehead,#0,F,6-6,220 lbs,"AUG 01, 2004",19,R,Duke,#22 Pick in 2023 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1641727/,2023-24
Mikal Bridges,#1,G-F,6-6,209 lbs,"AUG 30, 1996",27,5,Villanova,,BROOKLYN NETS,https://www.nba.com/stats/player/1628969/,2023-24
Cameron Johnson,#2,F,6-8,210 lbs,"MAR 03, 1996",28,4,North Carolina,Traded from PHX on 02/09/23,BROOKLYN NETS,https://www.nba.com/stats/player/1629661/,2023-24
Dennis Smith Jr.,#4,G,6-3,205 lbs,"NOV 25, 1997",26,6,North Carolina State,,BROOKLYN NETS,https://www.nba.com/stats/player/1628372/,2023-24
Lonnie Walker IV,#8,G-F,6-4,204 lbs,"DEC 14, 1998",25,5,Miami,,BROOKLYN NETS,https://www.nba.com/stats/player/1629022/,2023-24
Trendon Watford,#9,F,6-8,237 lbs,"NOV 09, 2000",23,2,Louisiana State,Signed on 08/03/23,BROOKLYN NETS,https://www.nba.com/stats/player/1630570/,2023-24
Ben Simmons,#10,G-F,6-10,240 lbs,"JUL 20, 1996",27,5,Louisiana State,Traded from PHI on 02/10/22,BROOKLYN NETS,https://www.nba.com/stats/player/1627732/,2023-24
Keita Bates-Diop,#13,F,6-8,229 lbs,"JAN 23, 1996",28,5,Ohio State,,BROOKLYN NETS,https://www.nba.com/stats/player/1628966/,2023-24
Jacob Gilyard,#14,G,5-8,160 lbs,"JUL 14, 1998",25,1,Richmond,,BROOKLYN NETS,https://www.nba.com/stats/player/1631367/,2023-24
Jaylen Martin,#16,G,6-6,216 lbs,"JAN 28, 2004",20,R,Overtime Elite,Signed on 02/21/24,BROOKLYN NETS,https://www.nba.com/stats/player/1641798/,2023-24
Dennis Schröder,#17,G,6-1,175 lbs,"SEP 15, 1993",30,10,Braunschweig,,BROOKLYN NETS,https://www.nba.com/stats/player/203471/,2023-24
Day'Ron Sharpe,#20,C,6-9,265 lbs,"NOV 06, 2001",22,2,North Carolina,Draft Rights Traded from PHX on 08/06/21,BROOKLYN NETS,https://www.nba.com/stats/player/1630549/,2023-24
Noah Clowney,#21,F,6-9,210 lbs,"JUL 14, 2004",19,R,Alabama,#21 Pick in 2023 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1641730/,2023-24
Jalen Wilson,#22,F,6-6,220 lbs,"NOV 04, 2000",23,R,Kansas,#51 Pick in 2023 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1630592/,2023-24
Cam Thomas,#24,G,6-3,210 lbs,"OCT 13, 2001",22,2,Louisiana State,#27 Pick in 2021 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1630560/,2023-24
Dorian Finney-Smith,#28,F,6-7,220 lbs,"MAY 04, 1993",31,7,Florida,Traded from DAL on 02/06/23,BROOKLYN NETS,https://www.nba.com/stats/player/1627827/,2023-24
Nic Claxton,#33,C,6-11,215 lbs,"APR 17, 1999",25,4,Georgia,#31 Pick in 2019 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1629651/,2023-24
Keon Johnson,#45,G,6-5,185 lbs,"MAR 10, 2002",22,2,Tennessee,Signed on 11/01/23,BROOKLYN NETS,https://www.nba.com/stats/player/1630553/,2023-24
Royce O'Neale,#00,F,6-6,226 lbs,"JUN 05, 1993",30,5,Baylor,,BROOKLYN NETS,https://www.nba.com/stats/player/1626220/,2022-23
RaiQuan Gray,#0,F,6-7,269 lbs,"JUL 07, 1999",23,R,Florida State,,BROOKLYN NETS,https://www.nba.com/stats/player/1630564/,2022-23
Mikal Bridges,#1,G-F,6-6,209 lbs,"AUG 30, 1996",26,4,Villanova,,BROOKLYN NETS,https://www.nba.com/stats/player/1628969/,2022-23
Cameron Johnson,#2,F,6-8,210 lbs,"MAR 03, 1996",27,3,North Carolina,Traded from PHX on 02/09/23,BROOKLYN NETS,https://www.nba.com/stats/player/1629661/,2022-23
Edmond Sumner,#4,G,6-4,196 lbs,"DEC 31, 1995",27,4,Xavier,,BROOKLYN NETS,https://www.nba.com/stats/player/1628410/,2022-23
David Duke Jr.,#6,G,6-4,204 lbs,"OCT 13, 1999",23,1,Providence,,BROOKLYN NETS,https://www.nba.com/stats/player/1630561/,2022-23
Patty Mills,#8,G,6-0,180 lbs,"AUG 11, 1988",34,13,St. Mary's,,BROOKLYN NETS,https://www.nba.com/stats/player/201988/,2022-23
Dru Smith,#9,G,6-3,203 lbs,"DEC 30, 1997",25,R,Missouri,,BROOKLYN NETS,https://www.nba.com/stats/player/1630696/,2022-23
Ben Simmons,#10,G-F,6-10,240 lbs,"JUL 20, 1996",26,4,Louisiana State,Traded from PHI on 02/10/22,BROOKLYN NETS,https://www.nba.com/stats/player/1627732/,2022-23
Joe Harris,#12,G-F,6-6,220 lbs,"SEP 06, 1991",31,8,Virginia,,BROOKLYN NETS,https://www.nba.com/stats/player/203925/,2022-23
Yuta Watanabe,#18,G-F,6-8,215 lbs,"OCT 13, 1994",28,4,George Washington,,BROOKLYN NETS,https://www.nba.com/stats/player/1629139/,2022-23
Day'Ron Sharpe,#20,C,6-9,265 lbs,"NOV 06, 2001",21,1,North Carolina,Draft Rights Traded from PHX on 08/06/21,BROOKLYN NETS,https://www.nba.com/stats/player/1630549/,2022-23
Cam Thomas,#24,G,6-3,210 lbs,"OCT 13, 2001",21,1,Louisiana State,#27 Pick in 2021 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1630560/,2022-23
Spencer Dinwiddie,#26,G,6-5,215 lbs,"APR 06, 1993",30,8,Colorado,,BROOKLYN NETS,https://www.nba.com/stats/player/203915/,2022-23
Dorian Finney-Smith,#28,F,6-7,220 lbs,"MAY 04, 1993",30,6,Florida,Traded from DAL on 02/06/23,BROOKLYN NETS,https://www.nba.com/stats/player/1627827/,2022-23
Seth Curry,#30,G,6-1,185 lbs,"AUG 23, 1990",32,8,Duke,,BROOKLYN NETS,https://www.nba.com/stats/player/203552/,2022-23
Nic Claxton,#33,C,6-11,215 lbs,"APR 17, 1999",24,3,Georgia,#31 Pick in 2019 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1629651/,2022-23
Andre Drummond,#0,C,6-10,279 lbs,"AUG 10, 1993",28,9,Connecticut,,BROOKLYN NETS,https://www.nba.com/stats/player/203083/,2021-22
Bruce Brown,#1,G-F,6-4,202 lbs,"AUG 15, 1996",25,3,Miami,,BROOKLYN NETS,https://www.nba.com/stats/player/1628971/,2021-22
Blake Griffin,#2,F,6-9,250 lbs,"MAR 16, 1989",33,11,Oklahoma,,BROOKLYN NETS,https://www.nba.com/stats/player/201933/,2021-22
James Johnson,#16,F,6-7,240 lbs,"FEB 20, 1987",33,10,Wake Forest,,BROOKLYN NETS,https://www.nba.com/stats/player/201949/,2021-22
David Duke Jr.,#6,G,6-4,204 lbs,"OCT 13, 1999",22,R,Providence,,BROOKLYN NETS,https://www.nba.com/stats/player/1630561/,2021-22
Kevin Durant,#7,F,6-10,240 lbs,"SEP 29, 1988",33,13,Texas,,BROOKLYN NETS,https://www.nba.com/stats/player/201142/,2021-22
Patty Mills,#8,G,6-0,180 lbs,"AUG 11, 1988",33,12,St. Mary's,,BROOKLYN NETS,https://www.nba.com/stats/player/201988/,2021-22
Goran Dragic,#9,G,6-3,190 lbs,"MAY 06, 1986",36,13,Union Olimpija,,BROOKLYN NETS,https://www.nba.com/stats/player/201609/,2021-22
Ben Simmons,#10,G-F,6-11,240 lbs,"JUL 20, 1996",25,4,Louisiana State,Traded from PHI on 02/10/22,BROOKLYN NETS,https://www.nba.com/stats/player/1627732/,2021-22
Kyrie Irving,#11,G,6-2,195 lbs,"MAR 23, 1992",30,10,Duke,,BROOKLYN NETS,https://www.nba.com/stats/player/202681/,2021-22
Joe Harris,#12,G-F,6-6,220 lbs,"SEP 06, 1991",30,7,Virginia,,BROOKLYN NETS,https://www.nba.com/stats/player/203925/,2021-22
Kessler Edwards,#14,F,6-7,203 lbs,"AUG 09, 2000",21,R,Pepperdine,,BROOKLYN NETS,https://www.nba.com/stats/player/1630556/,2021-22
Day'Ron Sharpe,#20,F,6-9,265 lbs,"NOV 06, 2001",20,R,North Carolina,Draft Rights Traded from PHX on 08/06/21,BROOKLYN NETS,https://www.nba.com/stats/player/1630549/,2021-22
LaMarcus Aldridge,#21,C-F,6-11,250 lbs,"JUL 19, 1985",36,15,University of Texas at Austin,,BROOKLYN NETS,https://www.nba.com/stats/player/200746/,2021-22
Cam Thomas,#24,G,6-3,210 lbs,"OCT 13, 2001",20,R,Louisiana State,#27 Pick in 2021 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1630560/,2021-22
Seth Curry,#30,G,6-2,185 lbs,"AUG 23, 1990",31,7,Duke,,BROOKLYN NETS,https://www.nba.com/stats/player/203552/,2021-22
Nic Claxton,#33,F-C,6-11,215 lbs,"APR 17, 1999",23,2,Georgia,#31 Pick in 2019 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1629651/,2021-22
